source,target,regex,type,code,match,hits,title
"/38663538-2/","https://next.napoan.com/38663538-2","0","url","301","url","0",""
"/38628858-2/","https://next.napoan.com/38628858-2","0","url","301","url","0",""
"/38682436-2/","https://next.napoan.com/38682436-2","0","url","301","url","0",""
"/38716222-2/","https://next.napoan.com/38716222-2","0","url","301","url","0",""
"/38768454-2/","https://next.napoan.com/38768454-2","0","url","301","url","0",""
"/38861610-2/","https://next.napoan.com/38861610-2","0","url","301","url","0",""
"/38821756-2/","https://next.napoan.com/38821756-2","0","url","301","url","0",""
"/38910737-2/","https://next.napoan.com/38910737-2","0","url","301","url","0",""
"/38914302-2/","https://next.napoan.com/38914302-2","0","url","301","url","0",""
"/38930143-2/","https://next.napoan.com/38930143-2","0","url","301","url","0",""
"/40484914-2/","https://next.napoan.com/40484914-2","0","url","301","url","0",""
"/40500410-2/","https://next.napoan.com/40500410-2","0","url","301","url","0",""
"/40532156-2/","https://next.napoan.com/40532156-2","0","url","301","url","0",""
"/40560860-2/","https://next.napoan.com/40560860-2","0","url","301","url","0",""
"/40576974-2/","https://next.napoan.com/40576974-2","0","url","301","url","0",""
"/40623466-2/","https://next.napoan.com/40623466-2","0","url","301","url","0",""
"/40674970-2/","https://next.napoan.com/40674970-2","0","url","301","url","0",""
"/40690052-2/","https://next.napoan.com/40690052-2","0","url","301","url","0",""
"/40772419-2/","https://next.napoan.com/40772419-2","0","url","301","url","0",""
"/40805228-2/","https://next.napoan.com/40805228-2","0","url","301","url","0",""
"/40788054-2/","https://next.napoan.com/40788054-2","0","url","301","url","0",""
"/40869747-2/","https://next.napoan.com/40869747-2","0","url","301","url","0",""
"/40888696-2/","https://next.napoan.com/40888696-2","0","url","301","url","0",""
"/40968329-2/","https://next.napoan.com/40968329-2","0","url","301","url","0",""
"/41053645-2/","https://next.napoan.com/41053645-2","0","url","301","url","0",""
"/41086925-2/","https://next.napoan.com/41086925-2","0","url","301","url","0",""
"/41103839-2/","https://next.napoan.com/41103839-2","0","url","301","url","0",""
"/41140063-2/","https://next.napoan.com/41140063-2","0","url","301","url","0",""
"/41156544-2/","https://next.napoan.com/41156544-2","0","url","301","url","0",""
"/41249070-2/","https://next.napoan.com/41249070-2","0","url","301","url","0",""
"/41287163-2/","https://next.napoan.com/41287163-2","0","url","301","url","0",""
"/41251248-2/","https://next.napoan.com/41251248-2","0","url","301","url","0",""
"/41333872-2/","https://next.napoan.com/41333872-2","0","url","301","url","0",""
"/41419102-2/","https://next.napoan.com/41419102-2","0","url","301","url","0",""
"/41452135-2/","https://next.napoan.com/41452135-2","0","url","301","url","0",""
"/41549507-2/","https://next.napoan.com/41549507-2","0","url","301","url","0",""
